"Estimated number of arrests by offense and race, 2005"
"Age: All ages"
"Offenses","All races","White","Black","American Indian","Asian",
"All offenses","13,985,230","9,793,980","3,857,280","186,510","147,470",
"Murder and nonnegligent manslaughter","14,060","6,950","6,780","160","160",
"Forcible rape","25,530","16,620","8,330","310","270",
"Robbery","114,620","47,970","64,870","720","1,060",
"Aggravated assault","449,300","285,050","153,330","5,980","4,930",
"Burglary","298,840","208,770","84,250","3,140","2,670",
"Larceny-theft","1,146,700","795,650","319,460","15,350","16,230",
"Motor vehicle theft","147,460","92,090","51,730","1,520","2,130",
"Arson","16,340","12,590","3,400","170","190",
"Simple assault","1,301,390","854,430","413,090","18,760","15,120",
"Forgery and counterfeiting","118,460","84,020","32,380","680","1,380",
"Fraud","321,520","220,840","96,870","1,820","2,000",
"Embezzlement","18,970","12,770","5,820","130","250",
"Stolen property (buying, receiving, possessing)","133,860","86,040","45,500","1,070","1,250",
"Vandalism","279,560","210,160","62,220","4,260","2,920",
"Weapons (carrying, possessing, etc.)","193,470","114,920","75,320","1,420","1,820",
"Prostitution and commercialized vice","84,890","46,820","35,420","830","1,810",
"Sex offense (except forcible rape and prostitution)","91,630","67,870","21,800","990","960",
"Drug abuse violations","1,846,350","1,202,920","617,740","12,300","13,390",
"Gambling","11,180","2,950","7,870","30","320",
"Offenses against the family and children","129,130","87,970","37,940","2,430","790",
"Driving under the influence","1,371,920","1,214,290","123,050","19,420","15,160",
"Liquor laws","597,840","511,260","64,330","16,060","6,180",
"Drunkenness","556,170","466,490","73,940","12,700","3,040",
"Disorderly conduct","678,230","432,540","229,930","10,660","5,100",
"Vagrancy","33,230","18,450","14,010","560","210",
"All other offenses (except traffic)","3,863,790","2,606,250","1,157,240","53,830","46,460",
"Curfew and loitering","140,840","87,290","50,650","1,220","1,680",
"Violent Crime Index","603,500","356,600","233,310","7,170","6,430",
"Property Crime Index","1,609,330","1,109,100","458,830","20,180","21,220",
"Violent crimes*","577,980","339,970","224,990","6,850","6,160",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and race, 2005. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=2. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
