"Estimated number of arrests by offense and race, 2011"
"Age: All ages"
"Offenses","All races","White","Black","American Indian","Asian",
"All offenses","12,408,900","8,595,810","3,474,350","187,820","150,920",
"Murder and nonnegligent manslaughter","10,830","5,210","5,350","140","130",
"Forcible rape","19,490","12,770","6,200","240","280",
"Robbery","106,670","45,730","59,000","810","1,140",
"Aggravated assault","397,710","253,580","133,230","6,040","4,870",
"Burglary","296,710","197,920","93,380","2,750","2,650",
"Larceny-theft","1,264,990","867,830","359,700","19,420","18,040",
"Motor vehicle theft","66,410","42,420","22,180","870","940",
"Arson","11,780","8,470","3,020","140","140",
"Simple assault","1,241,720","816,220","390,590","19,760","15,150",
"Forgery and counterfeiting","70,210","46,170","22,790","380","870",
"Fraud","168,220","111,780","53,410","1,480","1,540",
"Embezzlement","16,190","10,640","5,180","80","290",
"Stolen property (buying, receiving, possessing)","93,230","61,870","29,790","720","860",
"Vandalism","237,640","173,190","57,740","3,980","2,730",
"Weapons (carrying, possessing, etc.)","153,520","89,340","61,480","1,150","1,550",
"Prostitution and commercialized vice","57,350","30,660","24,740","340","1,610",
"Sex offense (except forcible rape and prostitution)","69,230","50,130","17,180","940","970",
"Drug abuse violations","1,531,250","1,025,250","481,430","10,960","13,610",
"Gambling","8,600","2,610","5,580","50","360",
"Offenses against the family and children","116,720","76,480","36,920","2,440","880",
"Driving under the influence","1,215,080","1,032,850","145,020","18,050","19,170",
"Liquor laws","500,650","411,630","66,140","16,590","6,290",
"Drunkenness","534,220","436,830","83,080","10,430","3,870",
"Disorderly conduct","582,160","367,350","198,550","11,420","4,830",
"Vagrancy","29,200","16,730","11,720","560","190",
"All other offenses (except traffic)","3,532,200","2,354,990","1,073,390","57,030","46,790",
"Curfew and loitering","76,940","47,150","27,580","1,060","1,160",
"Violent Crime Index","534,700","317,290","203,780","7,220","6,420",
"Property Crime Index","1,639,880","1,116,640","478,280","23,190","21,780",
"Violent crimes*","515,210","304,520","197,580","6,980","6,140",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and race, 2011. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=2. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
