"Estimated number of arrests by offense and race, 2003"
"Age: All ages"
"Offenses","All races","White","Black","American Indian","Asian",
"All offenses","13,515,900","9,470,310","3,714,240","178,900","152,440",
"Murder and nonnegligent manslaughter","13,190","6,350","6,540","140","160",
"Forcible rape","26,350","16,690","8,970","360","320",
"Robbery","107,550","46,540","59,130","690","1,200",
"Aggravated assault","449,930","286,020","153,420","5,130","5,370",
"Burglary","290,960","204,130","80,780","2,990","3,060",
"Larceny-theft","1,145,070","777,680","335,940","14,120","17,330",
"Motor vehicle theft","152,930","93,780","54,820","1,560","2,780",
"Arson","16,160","12,450","3,440","150","120",
"Simple assault","1,246,700","816,370","399,750","16,250","14,340",
"Forgery and counterfeiting","111,820","77,050","32,840","620","1,310",
"Fraud","299,140","203,420","92,220","1,610","1,890",
"Embezzlement","16,830","11,420","5,080","90","240",
"Stolen property (buying, receiving, possessing)","126,780","75,880","48,640","910","1,340",
"Vandalism","273,430","206,030","60,450","3,830","3,130",
"Weapons (carrying, possessing, etc.)","167,970","102,640","62,260","1,190","1,880",
"Prostitution and commercialized vice","75,190","43,670","29,420","410","1,690",
"Sex offense (except forcible rape and prostitution)","91,550","66,760","22,530","1,010","1,250",
"Drug abuse violations","1,678,190","1,097,610","557,170","10,620","12,790",
"Gambling","10,950","2,880","7,690","20","360",
"Offenses against the family and children","136,030","91,030","41,680","1,720","1,610",
"Driving under the influence","1,448,150","1,272,640","139,770","21,300","14,440",
"Liquor laws","612,080","531,520","57,970","16,520","6,070",
"Drunkenness","548,620","458,240","73,300","14,060","3,030",
"Disorderly conduct","639,370","419,250","205,670","9,570","4,880",
"Vagrancy","28,950","16,440","11,780","510","220",
"All other offenses (except traffic)","3,665,540","2,441,830","1,121,460","52,470","49,780",
"Curfew and loitering","136,460","92,020","41,510","1,070","1,870",
"Violent Crime Index","597,030","355,600","228,050","6,320","7,060",
"Property Crime Index","1,605,130","1,088,050","474,980","18,810","23,290",
"Violent crimes*","570,680","338,910","219,080","5,960","6,730",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and race, 2003. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=2. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
