"Estimated number of arrests by offense and race, 1983"
"Age: All ages"
"Offenses","All races","White","Black","American Indian","Asian",
"All offenses","11,571,790","8,351,090","3,037,240","111,820","71,640",
"Murder and nonnegligent manslaughter","20,310","10,230","9,790","140","160",
"Forcible rape","34,080","17,480","16,150","260","190",
"Robbery","146,170","54,310","90,160","820","880",
"Aggravated assault","298,830","180,190","114,200","2,710","1,730",
"Burglary","475,800","325,910","143,940","3,380","2,570",
"Larceny-theft","1,315,000","863,510","426,190","11,910","13,390",
"Motor vehicle theft","119,400","80,490","36,850","1,030","1,040",
"Arson","19,800","15,190","4,380","150","80",
"Simple assault","547,500","353,480","185,990","4,550","3,480",
"Forgery and counterfeiting","85,600","55,900","28,830","490","390",
"Fraud","309,800","208,980","98,290","1,450","1,080",
"Embezzlement","8,800","6,420","2,260","30","80",
"Stolen property (buying, receiving, possessing)","127,700","81,320","45,180","750","460",
"Vandalism","243,500","193,840","46,500","2,010","1,150",
"Weapons (carrying, possessing, etc.)","179,600","113,490","64,150","900","1,060",
"Prostitution and commercialized vice","125,600","65,770","58,070","450","1,310",
"Sex offense (except forcible rape and prostitution)","87,000","68,200","17,480","810","520",
"Drug abuse violations","661,400","464,300","190,340","2,600","4,160",
"Gambling","41,000","14,680","24,690","40","1,590",
"Offenses against the family and children","56,300","34,730","20,950","500","120",
"Driving under the influence","1,921,100","1,698,770","195,470","18,500","8,360",
"Liquor laws","498,300","444,470","42,150","8,870","2,810",
"Drunkenness","1,115,200","907,870","181,360","24,050","1,930",
"Disorderly conduct","757,400","486,750","259,990","8,250","2,410",
"Vagrancy","33,700","22,110","10,820","560","220",
"All other offenses (except traffic)","2,267,900","1,529,510","702,370","16,090","19,940",
"Curfew and loitering","75,000","53,200","20,740","540","530",
"Violent Crime Index","499,390","262,210","230,290","3,940","2,960",
"Property Crime Index","1,930,000","1,285,100","611,350","16,460","17,090",
"Violent crimes*","465,310","244,730","214,140","3,680","2,760",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and race, 1983. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=2. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
