"Estimated number of arrests by offense and race, 1990"
"Age: All ages"
"Offenses","All races","White","Black","American Indian","Asian",
"All offenses","14,020,770","9,775,670","3,983,510","152,000","109,590",
"Murder and nonnegligent manslaughter","22,990","10,150","12,480","170","200",
"Forcible rape","39,160","21,780","16,750","310","320",
"Robbery","167,990","62,060","104,170","570","1,190",
"Aggravated assault","475,330","285,670","181,690","4,560","3,410",
"Burglary","432,600","295,970","129,270","3,840","3,520",
"Larceny-theft","1,554,800","1,044,780","475,490","16,190","18,340",
"Motor vehicle theft","211,300","124,660","82,370","1,560","2,710",
"Arson","19,100","14,400","4,360","210","130",
"Simple assault","1,014,100","656,180","338,050","12,160","7,710",
"Forgery and counterfeiting","94,800","62,090","31,510","560","650",
"Fraud","291,600","196,650","92,730","1,170","1,050",
"Embezzlement","15,300","10,420","4,640","70","170",
"Stolen property (buying, receiving, possessing)","165,200","96,430","66,620","900","1,250",
"Vandalism","326,000","249,060","71,020","3,200","2,710",
"Weapons (carrying, possessing, etc.)","221,200","130,480","87,300","1,130","2,300",
"Prostitution and commercialized vice","111,400","66,980","43,040","530","850",
"Sex offense (except forcible rape and prostitution)","107,600","85,230","20,460","1,000","920",
"Drug abuse violations","1,089,500","641,100","439,980","3,770","4,660",
"Gambling","19,300","9,260","9,070","30","950",
"Offenses against the family and children","85,800","57,070","25,560","1,050","2,120",
"Driving under the influence","1,810,800","1,625,320","152,700","20,280","12,500",
"Liquor laws","714,700","628,530","66,080","16,300","3,790",
"Drunkenness","910,100","723,300","164,560","20,060","2,180",
"Disorderly conduct","733,000","487,680","232,180","9,790","3,340",
"Vagrancy","38,500","22,030","15,570","760","140",
"All other offenses (except traffic)","3,267,800","2,106,940","1,099,050","31,020","30,800",
"Curfew and loitering","80,800","61,460","16,820","840","1,690",
"Violent Crime Index","705,470","379,660","315,100","5,600","5,120",
"Property Crime Index","2,217,800","1,479,810","691,490","21,790","24,700",
"Violent crimes*","666,310","357,880","298,340","5,290","4,800",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and race, 1990. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=2. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
